Date,Forecasted WL,FFWC Predicted Q ,Observed Q ,GBM Predicted Q 
6/6/2015,7.13,3004.785058,2822,1793.721511
7/6/2015,7.34,3426.471427,2906,1842.380876
8/6/2015,7.35,3447.668931,2991,1876.890865
9/6/2015,7.11,2966.891894,3040,1854.588089
10/6/2015,7.16,3062.347625,3206,1830.353006
11/6/2015,7.08,2910.767726,3616,1823.919406
12/6/2015,7.25,3240.331868,3835,1898.459749
13/6/2015,7.46,3687.820886,4025,1917.064205
14/6/2015,7.74,4359.728889,4437,1974.67042
15/6/2015,7.85,4648.958938,4853,1661.617782
16/6/2015,8.17,5578.342282,5314,1653.146825
17/6/2015,8.11,5393.681863,5771,1556.513836
18/6/2015,8,5067.815622,5602,1699.926426
19/6/2015,8.4,6333.485845,5050,1699.926426
20/6/2015,8.58,6979.541415,4901,2652.745215
21/6/2015,8.93,8385.922239,4919.667547,2521.580445
22/6/2015,8.38,6264.754789,5070,2602.85411
23/6/2015,9,8692.530442,4867,2444.808363
24/6/2015,7.94,4896.809126,5035,1556.513836
25/6/2015,8.07,5273.307973,5089,1844.278313
26/6/2015,8,5067.815622,5065,1858.790943
27/6/2015,8.16,5547.220474,5363,2026.078651
28/6/2015,8.72,7517.488847,5628,2050.561969
29/6/2015,8.2,5672.544195,5675,2367.256618
30/6/2015,8.17,5578.342282,6535,4215.418442
1/7/2015,8.04,5184.44168,6534,5668.378258
2/7/2015,8.57,6942.325297,6540,6753.695524
3/7/2015,8.19,5641.003679,6745,7445.151403
4/7/2015,9.34,10311.54045,7573,9896.909403
5/7/2015,8.49,6650.258283,9625,10475.60586
6/7/2015,8.49,6650.258283,10538,11961.18476
7/7/2015,9.1,9145.986066,11166,12111.80512
8/7/2015,9.49,11098.15829,12043,11221.46644
9/7/2015,9.79,12814.88803,12148,12004.95816
10/7/2015,10.9,21096.07295,12316,12242.79912
11/7/2015,10.34,16508.69709,11809,13320.67073
12/7/2015,10.77,19950.22748,11341,11024.08543
13/7/2015,10.71,19438.40671,11383,10935.28225
