Date,Forecasted WL,FFWC Predicted Q ,Observed Q ,SVM Predicted Q 
6/6/2015,7.13,3004.785058,2822,1757.884993
7/6/2015,7.34,3426.471427,2906,2043.392821
8/6/2015,7.35,3447.668931,2991,2074.217049
9/6/2015,7.11,2966.891894,3040,2118.981173
10/6/2015,7.16,3062.347625,3206,2094.542293
11/6/2015,7.08,2910.767726,3616,2054.682936
12/6/2015,7.25,3240.331868,3835,3227.264696
13/6/2015,7.46,3687.820886,4025,3219.494058
14/6/2015,7.74,4359.728889,4437,3005.539647
15/6/2015,7.85,4648.958938,4853,3292.266843
16/6/2015,8.17,5578.342282,5314,4565.872757
17/6/2015,8.11,5393.681863,5771,6261.533054
18/6/2015,8,5067.815622,5602,7166.947036
19/6/2015,8.4,6333.485845,5050,6297.684453
20/6/2015,8.58,6979.541415,4901,6018.220463
21/6/2015,8.93,8385.922239,4919.667547,6484.946311
22/6/2015,8.38,6264.754789,5070,6285.55187
23/6/2015,9,8692.530442,4867,5650.803257
24/6/2015,7.94,4896.809126,5035,5005.337448
25/6/2015,8.07,5273.307973,5089,6020.636804
26/6/2015,8,5067.815622,5065,6411.021424
27/6/2015,8.16,5547.220474,5363,6852.958754
28/6/2015,8.72,7517.488847,5628,6053.261877
29/6/2015,8.2,5672.544195,5675,6030.497915
30/6/2015,8.17,5578.342282,6535,7501.669033
1/7/2015,8.04,5184.44168,6534,8099.59247
2/7/2015,8.57,6942.325297,6540,6803.554142
3/7/2015,8.19,5641.003679,6745,7930.792998
4/7/2015,9.34,10311.54045,7573,9023.012082
5/7/2015,8.49,6650.258283,9625,8985.244933
6/7/2015,8.49,6650.258283,10538,12101.08285
7/7/2015,9.1,9145.986066,11166,11431.13765
8/7/2015,9.49,11098.15829,12043,10475.42363
9/7/2015,9.79,12814.88803,12148,12270.82669
10/7/2015,10.9,21096.07295,12316,13883.15422
11/7/2015,10.34,16508.69709,11809,15320.84642
12/7/2015,10.77,19950.22748,11341,15610.42528
13/7/2015,10.71,19438.40671,11383,10631.37773
14/7/2015,9.88,13369.18141,11887,9652.721244
15/7/2015,9.95,13813.38034,12458,11380.07103
16/7/2015,9.76,12634.25454,12819,14382.13993
17/7/2015,9.97,13942.43212,13524,15093.59589
18/7/2015,10.78,20036.56598,14981,16545.08459
19/7/2015,10.85,20649.31564,16036,14467.24154
20/7/2015,10.7,19354.13119,16334,14765.28795
21/7/2015,10.82,20384.90521,16614,16975.34989
22/7/2015,11.11,23057.42054,17640,18512.38234
23/7/2015,9.08,9053.819233,18791,19004.16227
24/7/2015,11.45,26538.97598,19325,20895.26184
25/7/2015,11.07,22673.05123,19296,23715.16208
26/7/2015,11.45,26538.97598,18572,21685.064
27/7/2015,11.86,31281.80283,17724,20423.377
28/7/2015,11.99,32918.93981,17123,18686.86787
29/7/2015,11.82,30791.35938,16671,16464.31453
30/7/2015,11.61,28316.13441,16671,18269.74962
31/7/2015,11.24,24342.66087,17164,17145.21241
1/8/2015,11.25,24443.84287,17809,19373.15747
2/8/2015,11.19,23841.74946,19044,21901.62173
3/8/2015,11.09,22864.59168,20707,29167.6607
4/8/2015,11.45,26538.97598,22300,23863.36497
5/8/2015,11.11,23057.42054,23303,24867.0972
6/8/2015,11.66,28890.53448,23439,23420.74818
7/8/2015,12.19,35570.38248,23113,21537.88319
8/8/2015,12.46,39417.15528,21873,20310.3311
9/8/2015,12.75,43911.17156,21037,21074.19833
10/8/2015,12.87,45886.1778,20425,20415.61213
11/8/2015,12.05,33697.22602,19809,20564.87093
12/8/2015,11.97,32662.72204,19057,17495.07178
13/8/2015,11.83,30913.39118,18557,17481.65132
14/8/2015,11.75,29947.853,18630,19222.27354
15/8/2015,11.69,29239.6101,19281,21904.04432
16/8/2015,11.42,26215.89628,20597,23316.72151
17/8/2015,11.49,26974.68057,22102,24213.85202
18/8/2015,11.34,25369.66277,23423,24566.51756
19/8/2015,11.77,30186.95022,24794,24669.29085
20/8/2015,12.04,33566.50278,25329.453,26893.14754
21/8/2015,12.25,36398.15207,26970,25409.56524
22/8/2015,12.61,41693.32151,28722,30284.40086
23/8/2015,12.79,44561.81804,30394,31961.60268
24/8/2015,13.11,50048.67955,32062,30493.72865
25/8/2015,13.09,49690.71585,33215,31579.39221
26/8/2015,13.37,54892.32187,34798,35459.82694
27/8/2015,13.67,60938.1699,35349,30194.12812
28/8/2015,13.9,65923.54223,35571,29578.59688
29/8/2015,14,68190.04465,34763,30923.41422
30/8/2015,13.86,65033.94799,33004,31157.19192
31/8/2015,13.69,61359.34902,31608,28793.90936
1/9/2015,13.73,62208.67248,30576,29008.52158
2/9/2015,13.52,57852.2776,29828,28704.5293
3/9/2015,13.45,56455.53047,29390,30954.90846
4/9/2015,13.1,49869.44153,29291,30853.13098
5/9/2015,13.16,50952.59326,29113,28411.46322
6/9/2015,13.07,49334.79718,28936,27369.07946
7/9/2015,12.83,45220.13105,28838,27542.94594
8/9/2015,13,48105.0605,28313,25823.57147
9/9/2015,13,48105.0605,27281,25716.13954
10/9/2015,12.84,45385.91507,25873,24780.43539
11/9/2015,12.74,43749.69999,24164,23966.54918
12/9/2015,12.68,42790.78703,22218,20653.32629
13/9/2015,12.56,40923.25466,20629,14330.66667
14/9/2015,12.39,38389.44798,19207,9777.280894
15/9/2015,11.92,32029.1312,18051,11499.34232
16/9/2015,11.82,30791.35938,17178,15613.9752
17/9/2015,11.8,30548.44845,16455,16361.15276
18/9/2015,11.49,26974.68057,15883,15435.57356
19/9/2015,11.16,23545.17188,15324,13824.78154
20/9/2015,11.14,23349.09372,14779,13554.48451
21/9/2015,11.09,22864.59168,14468,12902.66397
22/9/2015,10.98,21826.89114,14016,12451.21463
23/9/2015,10.86,20738.05771,14186,12924.83184
24/9/2015,10.88,20916.45439,14481.00399,13171.15686
25/9/2015,10.69,19270.14735,14481.00399,14345.97595
26/9/2015,10.65,18937.11372,14474,14399.72666
27/9/2015,10.65,18937.11372,14357,12789.41255
28/9/2015,11.05,22482.79274,14077,11238.05639
29/9/2015,10.54,18044.88163,13776,14183.34845
30/9/2015,10.55,18124.58003,13269,14834.48108
1/10/2015,10.71,19438.40671,12661,12808.99003
2/10/2015,10.69,19270.14735,11963,11716.30274
3/10/2015,10.66,19019.93837,11114,11231.8347
4/10/2015,10.51,17807.46209,10464,10133.10934
5/10/2015,9.75,12574.49681,9927,9910.229988
6/10/2015,9.99,14072.44372,9317,9620.613953
7/10/2015,9.76,12634.25454,8731,9616.938244
8/10/2015,8.97,8560.051096,8298,9861.323303
9/10/2015,9.24,9812.318025,7971,9532.020777
10/10/2015,9.18,9522.166593,7484,9048.296476
11/10/2015,8.33,6095.527124,7025,8149.794156
12/10/2015,8.77,7717.430809,6614,7766.80996
13/10/2015,8.67,7321.700314,6241,7807.238348
14/10/2015,8.41,6368.076166,5937,6787.14746
15/10/2015,8.27,5897.287968,5835.50871,3708.885208
16/10/2015,8.12,5424.115061,5835.50871,3825.022566
17/10/2015,7.98,5010.292669,5492,3926.597558
18/10/2015,8.19,5641.003679,5276,3739.966625
19/10/2015,8.06,5243.551951,5040,3480.23741
20/10/2015,8.01,5096.773947,4859,3547.839624
21/10/2015,8.02,5125.8641,4753.563399,3384.767079
22/10/2015,7.95,4924.985823,4572,3368.907063
23/10/2015,7.83,4595.265104,4432.692157,3389.76675
24/10/2015,7.88,4730.436815,4222,2842.916523
25/10/2015,7.64,4109.421192,4142,2955.394513
26/10/2015,7.55,3894.072063,4026,2924.481396
27/10/2015,7.38,3511.889755,3714,2883.124701
28/10/2015,7.2,3140.462303,3650,2880.096917
29/10/2015,7.01,2783.100461,3635.447164,3046.203974
30/10/2015,6.98,2729.772444,3635.447164,3287.503662
31/10/2015,6.85,2508.018818,3479,3098.417007
1/11/2015,6.73,2316.307618,3519,3933.959149
2/11/2015,6.65,2195.13121,3480,4071.421679
3/11/2015,6.52,2009.047062,3461,2776.873268
4/11/2015,6.3,1722.950001,3442,2672.556388
5/11/2015,6.22,1627.376615,3390,4091.93529
6/11/2015,,,,
6/6/2016,6.05,1438.303606,1522,1685.06787
7/6/2016,6.45,1914.194246,1443,1066.051228
8/6/2016,6.24,1650.8633,1399,950.7137083
